Movie_ID,Title,Director,Cast,Year,Genre
83768167,Common Gender,Noman Rabin,"Sohel Khan, Hasan Masood, Reza Siddqui, Rashed Mamun, Rosy Siddiqui",2012,Drama
83768168,Most Welcome,Anonno Mamun,"Ananta Jalil, Barsha, Sneha Ullal, Razzak, Bapparaj",2012,"Action, Romance"
83768169,My Name Is Sultan,F I Manik,"Shakib Khan, Sahara, Prabir Mitra, Rina Khan",2012,"Action, Romance"
83768170,Dhakar King,Shafi Uddin Shafi,"Shakib Khan, Nipun Akter, Apu Biswas",2012,Action
83768171,Se Amar Mon Kereche,Sohanur Rahman Sohan,"Shakib Khan, Tinni, Almgir, Misha Sawdagor",2012,Romance
83768172,Tumi Ashbe Bole,Ashraful Rahman,"Nirab Hossain, Nipun Akter",2012,Romance
83768173,Hothat Sedin,Basu Chatterjee,"Ferdous Ahmed, Ridhima Ghosh, Nipun",2012,Romance
83768174,Ghetuputra Kamola,Humayun Ahmed,"Mamun, Tariq Anam Khan, Agun, Jayanta Chattopadhyay, Munmun Ahmed",2012,Drama
83768175,Bhalobashar Rong,Shahin Sumon,"Mahiya Mahi, Bappy Chowdhury, Razzak, Amit Hasan",2012,Romance
83768176,Don Number One,Badiul Alam Khokon,"Shakib Khan, Sahara, Misha Sawdagor",2012,"Action, Romance"
83768177,Chorabali,Redoan Rony,"Joya Ahsan, Indraneil Sengupta, Sohel Rana, ATM Shamsuzzaman, Shahiduzzaman Selim",2012,"Crime, Thriller"
83768178,Pita - The Father,Masud Akhand,"Jayanta Chattapaddhay, Shaina Amin, Kallyan, Masud Akhand Maria Farih upama, moin duurrani, Armand Ara Bokul",2012,"War, Drama"
83768145,Bhalobasar Bandhan,M B Reza,"Aman, Anna, Shajid, Tithi",2013,Romance
83768146,Television,Mostofa Sarwar Farooki,"Shahir Huda Rumi, Chanchal Chowdhury, Mosharraf Karim, Nusrat Imrose Tisha",2013,Drama
83768147,Jor Kore Bhalobasha Hoyna,Shahadat Hossain Liton,"Shakib Khan, Sahara, Mukti, Misha Sawdagor",2013,Romance
83768148,Devdas,Chashi Nazrul Islam,"Shakib Khan, Apu Biswas, Moushumi, Shahiduzzaman Selim, Ahmed Sharif",2013,"Drama, Romance"
83768149,Onnorokom Bhalobasha,Shahin Sumon,"Bappy Chowdhury, Mahiya Mahi, Amit Hasan, Sara Jerin",2013,Romance
83768150,Antordhan,Syed Wahiduzzaman Diamond,"Ferdous Ahmed, Nipun Akter",2013,Drama
83768151,Jibon Nodir Tire,Monir Hossain Mithu,"Nirab Hossain, Anan",2013,Romance
83768152,Pagol Tor Jonno Re,Mayeen Biswas,"Irfan Khan, Tamanna, Omar Sani",2013,Romance
83768153,Simanaheen,"Kevin Dalvi, Ria Mahtab","Rahsaan Islam, Ismat Alamgir",2013,Romance
83768154,Attoghatok,Palash Parvez,"Shoyeb Khan, Rafid Khan, Keya",2013,Action
83768155,Shiri Forhad,Gazi Mahbub,"Riaz, Shabnur",2013,"Romance, Drama"
83768156,Hridoye 71,Sadeq Siddiqui,"Mamnun Hasan Emon, Romana, Shahidul Islam Shacchu",2013,Drama
83768157,Kosto Amar Duniya,Satya Ranjan Romance,"Ratna, Siraj Haidar, Apon Chowdhury, Kazi Hayat",2013,"Action, Romance"
83768158,Sei Tumi Anamika,Sarwar Hossain,"Shoyeb Khan, Rashed Khan, Shahrin, Mehrun",2013,Romance
83768159,Dehorokkhi: The Bodyguard,Iftakar Chowdhury,"Anisur Rahman Milon, Bobby, Kazi Maruf",2013,Action
83768160,Shikhandi Kotha,Mohammad Hannan,"Mohammad Hannan,  Rokeya Prachi, Jayanta Chattapaddhay",2013,Drama
83768161,Matir Pinjira,S M Shahnewaz Shanu,"Shahed Chowdhury, Raisul Islam Asad, Shampa, Pijush Bandhapaddhay,",2013,"Drama, Romance"
83768162,Judge Barrister Police Commissioner,F.I Manik,"Shakib Khan, Purnima, Razzak",2013,"Action, Drama, Romance"
